,Stimulated,Time (min),Unstimulated,Stimulated std,Unstimulated std
0,1.6796776987195772,0.9999998999999999,0.40975452624227626,0.0,0.0
1,1.290482876421236,1.9999997999999999,0.329448672297931,0.0,0.0
2,0.5115838845279084,2.9999997,0.4127311894778383,0.0,0.0
3,0.0852361079235469,3.9999995999999998,0.33122779026034904,0.0,0.0
4,0.02310623777944979,4.9999994999999995,0.2207466446073873,0.0,0.0
5,0.08018427198264094,5.999999399999999,0.4040334412970392,0.0,0.0
6,0.03999393781035362,6.999999299999999,0.27323018476632843,0.0,0.0
7,0.02855075928274937,7.999999199999999,0.8164388474317777,0.0,0.0
8,0.06227333685399986,8.999999099999998,0.24967185932794028,0.0,0.0
9,0.07666565029812722,9.999998999999999,0.09755321924000236,0.0,0.0
10,0.06788633686322701,10.9999989,0.025373530079151507,0.0,0.0
11,0.3452101511110456,11.9999988,0.026607952720358347,0.0,0.0
12,1.4641307628500793,12.9999987,0.026018267663382763,0.0,0.0
13,1.7568603860960281,13.999998600000001,0.024634940457037367,0.0,0.0
14,0.48640957522132244,14.999998500000002,0.09219883808697005,0.0,0.0
15,0.4776457697160494,15.999998400000003,0.03936063083423187,0.0,0.0
16,0.7648093140370311,16.9999983,0.0247116125327187,0.0,0.0
17,0.6396399255537133,17.9999982,0.031611795609076614,0.0,0.0
18,1.2584288513844135,18.9999981,0.027996472764489338,0.0,0.0
19,0.868618444915816,19.999997999999998,0.028458026261852093,0.0,0.0
20,0.46608212715776265,20.999997899999997,0.029576553348074023,0.0,0.0
21,1.1120629124542305,21.999997799999996,0.038547035428681785,0.0,0.0
22,1.3017017753769218,22.999997699999994,0.039957752746661655,0.0,0.0
23,1.8715228072469552,23.999997599999993,0.04456493894935568,0.0,0.0
24,1.8343040175946472,24.999997499999992,0.06921141914944177,0.0,0.0
25,1.2587542428898564,25.99999739999999,0.158427760703924,0.0,0.0
26,1.8049682595274614,26.99999729999999,0.2596922629034513,0.0,0.0
27,1.0610903383102603,27.99999719999999,0.13131993186587648,0.0,0.0
28,0.8322062368174723,28.999997099999987,0.23101926624292224,0.0,0.0
