,Stimulated,Time (min),Unstimulated,Stimulated std,Unstimulated std
0,14.784576878472501,0.9999998999999999,18.04138515830194,0.0,0.0
1,15.785382100768823,1.9999997999999999,17.765192338574476,0.0,0.0
2,16.907225164366245,2.9999997,15.932991074685605,0.0,0.0
3,16.545913828119655,3.9999995999999998,18.16201588395272,0.0,0.0
4,16.766376430180298,4.9999994999999995,19.338282957179416,0.0,0.0
5,16.129160669692,5.999999399999999,18.494857184373164,0.0,0.0
6,16.327826359890548,6.999999299999999,16.91361931496027,0.0,0.0
7,16.234173201705765,7.999999199999999,15.508345928906191,0.0,0.0
8,16.24801524849421,8.999999099999998,14.81925743022113,0.0,0.0
9,16.324893169878628,9.999998999999999,15.276270322136037,0.0,0.0
10,16.34390528553795,10.9999989,15.31813880013059,0.0,0.0
11,15.082902471614313,11.9999988,14.81848786718026,0.0,0.0
12,14.258832445884531,12.9999987,15.341800658632705,0.0,0.0
13,14.428251997209559,13.999998600000001,16.745969910826364,0.0,0.0
14,14.544473647085871,14.999998500000002,17.256154851362055,0.0,0.0
15,14.343319531696974,15.999998400000003,17.714855368359583,0.0,0.0
