,Stimulated,Time (min),Unstimulated,Stimulated std,Unstimulated std
0,0.4754618854963145,0.9999998999999999,0.05920066269271172,0.0,0.0
1,0.5281548075341881,1.9999997999999999,0.020118461734237036,0.0,0.0
2,0.15971772567817555,2.9999997,0.19628553839494645,0.0,0.0
3,0.07052506778105279,3.9999995999999998,0.05381098258497857,0.0,0.0
4,0.04966684123806511,4.9999994999999995,0.01961898559363446,0.0,0.0
5,0.044796359128687506,5.999999399999999,0.01850064873577659,0.0,0.0
6,0.06391806039665486,6.999999299999999,0.1521312141626977,0.0,0.0
7,0.06697166165158892,7.999999199999999,0.23787552457447778,0.0,0.0
8,0.06178645921815036,8.999999099999998,0.05876133531002605,0.0,0.0
9,0.08002202823744191,9.999998999999999,0.04736640859634908,0.0,0.0
10,0.06736670093196452,10.9999989,0.0758633622108158,0.0,0.0
11,0.05075085250751081,11.9999988,0.04987257442737375,0.0,0.0
12,0.040654489186798114,12.9999987,0.06399886495726263,0.0,0.0
13,0.04395224424857864,13.999998600000001,0.020607202141927954,0.0,0.0
14,0.04875059240154928,14.999998500000002,0.31555990523548155,0.0,0.0
15,0.05041315301277664,15.999998400000003,0.025436941972907894,0.0,0.0
