,Animal,Condition,Group,Hunch,Time
198,3,1,1,13.55,33.0
199,3,1,1,13.474,34.0
200,3,1,1,13.937,35.0
201,3,1,1,14.705,36.0
202,3,1,1,15.773,37.0
203,3,1,1,16.473,38.0
204,3,1,1,14.329,39.0
205,3,1,1,11.785,40.0
206,3,1,1,14.092,41.0
207,3,1,1,14.959,42.0
208,3,1,1,14.883,43.0
209,3,1,1,13.265,44.0
210,3,1,1,9.68,45.0
211,3,1,1,12.8,46.0
212,3,1,1,12.28,47.0
213,3,1,1,13.211,48.0
214,3,1,1,13.936,49.0
215,3,1,1,14.919,50.0
216,3,1,1,18.482,51.0
217,3,1,1,18.21,52.0
218,3,1,1,18.499,53.0
219,3,1,1,17.024,54.0
220,3,1,1,11.649,55.0
221,3,1,1,8.722,56.0
