,Stimulated,Time (min),Unstimulated,Stimulated std,Unstimulated std
0,1.6235205454101798,0.9999998999999999,0.8362458580691127,0.0,0.03287317860136795
1,1.40448255231837,1.9999997999999999,1.0742844775596176,0.0,0.03684474154016122
2,2.1000449897537283,2.9999997,0.818401569451221,0.0,0.02927187176255677
3,4.090514104456491,3.9999995999999998,0.9745428036835638,0.0,0.03394817217583548
4,2.510287708046306,4.9999994999999995,1.3689890140736192,0.0,0.04977959482780493
5,3.72599368920769,5.999999399999999,1.2763523393418656,0.0,0.04159149446168786
6,1.96988676052706,6.999999299999999,0.9688746034846526,0.0,0.03053454893873555
7,1.0219886116427983,7.999999199999999,0.9757405799135448,0.0,0.03263978848392056
8,2.5046554455872116,8.999999099999998,1.4248466949272227,0.0,0.04959043530439822
9,1.966469037287294,9.999998999999999,2.2460040688396323,0.0,0.07264998163395428
10,0.897514808981894,10.9999989,0.4690844393599116,0.0,0.017488588316520885
11,1.485824608256025,11.9999988,0.5104082245565705,0.0,0.019676130689507278
12,2.2400610463751245,12.9999987,1.1063746670118813,0.0,0.042325797384323786
13,1.879708943253754,13.999998600000001,0.9381363807692439,0.0,0.027537611296973942
14,1.9160896763021527,14.999998500000002,0.5224662756230253,0.0,0.015872484621331485
15,2.490093518201678,15.999998400000003,0.7437897556343953,0.0,0.020886268103823828
16,3.695766602606585,16.9999983,0.8583818414450187,0.0,0.03342085055504693
17,2.458671892319596,17.9999982,0.6567704251134403,0.0,0.020474504884138076
18,3.214055491669005,18.9999981,0.6261672823087178,0.0,0.01726757743896502
19,3.143295453178741,19.999997999999998,0.6621787719945463,0.0,0.017558649807231604
20,3.726773367970585,20.999997899999997,0.6169715917931852,0.0,0.017127935855981023
21,5.730716907905875,21.999997799999996,0.6398990764181258,0.0,0.017410353261904137
22,4.586053558998953,22.999997699999994,0.9221677329671222,0.0,0.026641254539163616
23,6.615408823005279,23.999997599999993,0.7753065679670775,0.0,0.022223775205666377
24,6.49452567505291,24.999997499999992,1.3997154539491168,0.0,0.04367841077111664
25,5.84124009741709,25.99999739999999,1.8283392664698717,0.0,0.05620226759313518
26,6.324328820943185,26.99999729999999,1.596933559841287,0.0,0.05007827733377727
27,5.7571372324121715,27.99999719999999,1.4749092365916436,0.0,0.043496744505722856
28,5.706936569789556,28.999997099999987,1.5368272435776427,0.0,0.04739541884440987
29,5.766542672613499,29.999996999999986,1.7490464944938229,0.0,0.026665230949724703
